,Country,Region,Population (millions),HDI,GDP per Capita,Cropland Footprint,Grazing Footprint,Forest Footprint,Carbon Footprint,Fish Footprint,Total Ecological Footprint,Cropland,Grazing Land,Forest Land,Fishing Water,Urban Land,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Data Quality
65,Gambia,Africa,1.79,0.44,505.76,0.46,0.05,0.2,0.21,0.08,1.03,0.23,0.04,0.2,0.32,0.03,0.82,-0.21,0.6,1.25,5
66,Georgia,Middle East/Central Asia,4.36,0.75,3710.7,0.39,0.2,0.1,0.83,0.02,1.58,0.12,0.36,0.61,0.05,0.04,1.17,-0.41,0.91,1.35,3B
67,Germany,European Union,82.8,0.91,46822.4,1.1,0.14,0.48,3.28,0.05,5.3,1.23,0.06,0.68,0.07,0.24,2.27,-3.02,3.06,2.33,5
68,Ghana,Africa,25.37,0.57,1627.9,0.56,0.07,0.65,0.43,0.19,1.97,0.67,0.26,0.29,0.06,0.07,1.35,-0.62,1.14,1.46,6
69,Greece,European Union,11.12,0.86,25987.4,1.07,0.35,0.24,2.58,0.08,4.38,1.01,0.14,0.23,0.17,0.06,1.61,-2.77,2.53,2.73,5
72,Guatemala,Latin America,15.08,0.62,3233.8,0.37,0.16,0.58,0.7,0.01,1.89,0.38,0.15,0.34,0.05,0.07,0.99,-0.9,1.09,1.91,5
73,Guinea,Africa,11.45,0.41,459.09,0.39,0.32,0.45,0.16,0.05,1.41,0.35,0.75,0.64,0.3,0.04,2.09,0.68,0.81,0.67,5
74,Guinea-Bissau,Africa,1.66,0.42,681.25,0.35,0.36,0.67,0.09,0.01,1.53,0.48,0.36,0.34,1.79,0.06,3.03,1.49,0.89,0.51,6
75,Guyana,Latin America,0.8,0.63,3269.46,0.7,0.22,0.77,1.25,0.06,3.07,0.69,1.51,59.19,5.12,0.06,66.58,63.51,1.77,0.05,5
76,Haiti,Latin America,10.17,0.48,749.13,0.27,0.04,0.1,0.15,0.01,0.61,0.18,0.03,0.01,0.01,0.03,0.27,-0.34,0.35,2.28,6
77,Honduras,Latin America,7.94,0.61,2269.51,0.28,0.25,0.5,0.6,0.0,1.68,0.33,0.26,0.89,0.23,0.06,1.77,0.09,0.97,0.95,3B
78,Hungary,European Union,9.98,0.82,13964.2,0.42,0.08,0.36,1.9,0.02,2.92,1.28,0.06,0.69,0.0,0.13,2.17,-0.75,1.69,1.34,5
79,India,Asia-Pacific,1236.69,0.6,1513.85,0.34,0.01,0.14,0.61,0.02,1.16,0.35,0.0,0.02,0.03,0.05,0.45,-0.71,0.67,2.55,6
80,Indonesia,Asia-Pacific,246.86,0.68,3688.53,0.44,0.03,0.2,0.64,0.21,1.58,0.46,0.06,0.3,0.38,0.06,1.26,-0.32,0.91,1.25,6
81,"Iran, Islamic Republic of",Middle East/Central Asia,76.42,0.76,7511.1,0.69,0.09,0.07,1.72,0.12,2.79,0.48,0.07,0.06,0.19,0.09,0.9,-1.89,1.61,3.1,3B
82,Iraq,Middle East/Central Asia,32.78,0.65,5848.54,0.43,0.03,0.01,1.36,0.01,1.88,0.18,0.02,0.05,0.0,0.04,0.29,-1.59,1.09,6.58,3B
83,Ireland,European Union,4.58,0.91,52853.6,1.08,0.49,0.46,3.22,0.18,5.57,0.84,0.76,0.5,1.49,0.13,3.73,-1.83,3.21,1.49,5
84,Israel,Middle East/Central Asia,7.64,0.89,33718.9,0.89,0.22,0.36,4.59,0.07,6.22,0.22,0.01,0.03,0.02,0.08,0.35,-5.87,3.59,17.59,6
85,Italy,European Union,60.92,0.87,38412.0,0.91,0.32,0.42,2.77,0.12,4.61,0.58,0.04,0.33,0.06,0.06,1.08,-3.53,2.66,4.28,6
86,Jamaica,Latin America,2.77,0.72,5226.3,0.41,0.09,0.18,1.09,0.07,1.89,0.16,0.0,0.1,0.11,0.05,0.43,-1.46,1.09,4.39,3B
87,Japan,Asia-Pacific,127.25,0.89,46201.6,0.53,0.1,0.27,3.69,0.33,5.02,0.16,0.0,0.35,0.1,0.1,0.72,-4.3,2.9,7.01,6
88,Jordan,Middle East/Central Asia,7.01,0.75,4615.17,0.54,0.18,0.17,1.09,0.03,2.1,0.09,0.02,0.03,0.0,0.07,0.21,-1.89,1.21,9.91,5
89,Kazakhstan,Middle East/Central Asia,16.27,0.78,11278.0,0.58,0.19,0.12,4.59,0.03,5.55,1.14,1.93,0.24,0.06,0.03,3.41,-2.14,3.2,1.63,3L
90,Kenya,Africa,43.18,0.54,1062.11,0.25,0.23,0.27,0.2,0.05,1.03,0.2,0.24,0.02,0.02,0.04,0.51,-0.52,0.6,2.02,5
92,"Korea, Republic of",Asia-Pacific,49.0,0.89,24155.8,0.71,0.12,0.21,4.17,0.41,5.69,0.13,0.0,0.09,0.4,0.06,0.68,-5.01,3.29,8.36,5
93,Kuwait,Middle East/Central Asia,3.25,0.82,41830.5,0.55,0.24,0.21,6.89,0.09,8.13,0.02,0.01,0.0,0.37,0.15,0.55,-7.58,4.7,14.68,3L
94,Kyrgyzstan,Middle East/Central Asia,5.47,0.65,1116.37,0.59,0.18,0.09,0.95,0.01,1.91,0.47,0.63,0.06,0.05,0.08,1.3,-0.61,1.1,1.47,3B
95,Lao People's Democratic Republic,Asia-Pacific,6.65,0.56,1236.24,0.57,0.08,0.36,0.09,0.01,1.22,0.57,0.13,0.78,0.03,0.11,1.62,0.4,0.7,0.75,6
96,Latvia,European Union,2.06,0.81,13732.0,2.28,0.09,2.02,1.66,0.11,6.29,3.1,0.31,4.08,1.93,0.13,9.55,3.26,3.63,0.66,5
97,Lebanon,Middle East/Central Asia,4.65,0.76,9143.86,0.67,0.3,0.25,2.52,0.05,3.84,0.16,0.04,0.06,0.01,0.06,0.33,-3.51,2.22,11.7,6
98,Lesotho,Africa,2.05,0.48,1338.42,0.22,0.49,0.42,0.51,0.0,1.66,0.04,0.74,0.0,0.0,0.01,0.78,-0.87,0.96,2.11,3B
99,Liberia,Africa,4.19,0.42,397.38,0.23,0.03,0.75,0.14,0.03,1.21,0.15,0.61,1.45,0.32,0.03,2.57,1.35,0.7,0.47,3B
100,Libyan Arab Jamahiriya,Africa,6.16,0.74,5859.43,0.79,0.32,0.14,2.33,0.1,3.69,0.17,0.23,0.02,0.25,0.02,0.7,-3.0,2.13,5.3,3B
101,Lithuania,European Union,3.03,0.83,14373.7,1.89,0.21,1.28,2.15,0.16,5.83,3.03,0.11,2.09,0.3,0.15,5.67,-0.17,3.37,1.03,5
102,Luxembourg,European Union,0.52,0.89,114665.0,1.1,0.76,1.03,12.65,0.13,15.82,0.57,0.08,0.89,0.0,0.14,1.68,-14.14,9.14,9.44,5
103,Macedonia TFYR,Northern/Eastern Europe,2.11,0.74,5174.89,0.62,0.21,0.31,2.06,0.03,3.26,0.38,0.17,0.92,0.02,0.02,1.51,-1.75,1.88,2.16,6
104,Madagascar,Africa,22.29,0.51,456.33,0.27,0.34,0.24,0.07,0.02,0.99,0.26,1.3,0.8,0.21,0.06,2.63,1.64,0.57,0.38,6
105,Malawi,Africa,15.91,0.43,493.84,0.43,0.05,0.2,0.07,0.01,0.81,0.45,0.07,0.02,0.06,0.05,0.66,-0.15,0.47,1.22,5
106,Malaysia,Asia-Pacific,29.24,0.77,10252.6,0.67,0.12,0.38,2.1,0.36,3.71,0.75,0.01,0.73,0.84,0.07,2.41,-1.3,2.14,1.54,3B
107,Mali,Africa,14.85,0.41,741.22,0.52,0.66,0.17,0.1,0.03,1.53,0.51,0.71,0.25,0.05,0.06,1.58,0.05,0.88,0.97,6
109,Mauritania,Africa,3.8,0.5,1524.39,0.39,1.2,0.21,0.55,0.15,2.54,0.1,2.91,0.05,1.38,0.04,4.48,1.93,1.47,0.57,3B
110,Mauritius,Africa,1.24,0.77,8811.15,0.52,0.22,0.18,1.99,0.55,3.46,0.14,0.0,0.01,0.56,0.0,0.71,-2.75,2.0,4.89,5
111,Mexico,Latin America,120.85,0.75,10123.9,0.55,0.24,0.25,1.74,0.06,2.89,0.37,0.24,0.47,0.14,0.05,1.27,-1.62,1.67,2.27,5
112,Moldova,Northern/Eastern Europe,3.51,0.68,1971.03,0.43,0.08,0.15,1.03,0.06,1.78,0.59,0.07,0.1,0.01,0.03,0.8,-0.98,1.03,2.23,5
113,Mongolia,Asia-Pacific,2.8,0.71,3736.07,0.29,3.47,0.17,2.09,0.0,6.08,0.21,8.23,7.03,0.14,0.05,15.66,9.58,3.51,0.39,3B
114,Montenegro,Northern/Eastern Europe,0.62,0.8,7251.6,0.64,0.33,0.62,2.13,0.05,3.78,0.14,0.22,2.63,0.24,0.01,3.24,-0.54,2.19,1.17,5
116,Morocco,Africa,32.52,0.62,3149.43,0.6,0.17,0.14,0.67,0.06,1.68,0.34,0.17,0.1,0.07,0.03,0.71,-0.96,0.97,2.35,5
117,Mozambique,Africa,25.2,0.41,538.82,0.31,0.03,0.29,0.17,0.03,0.87,0.28,0.96,0.61,0.17,0.05,2.06,1.19,0.5,0.42,5
118,Myanmar,Asia-Pacific,52.8,0.53,1117.58,0.8,0.01,0.32,0.09,0.1,1.43,0.88,0.0,0.56,0.28,0.11,1.84,0.41,0.83,0.78,6
119,Namibia,Africa,2.26,0.62,5880.8,0.33,0.23,0.17,1.02,0.72,2.48,0.14,1.6,0.36,4.76,0.02,6.88,4.4,1.43,0.36,3L
121,Nepal,Asia-Pacific,27.47,0.54,700.07,0.43,0.07,0.21,0.16,0.0,0.98,0.37,0.05,0.06,0.01,0.11,0.59,-0.38,0.56,1.65,6
122,Netherlands,European Union,16.71,0.92,53589.9,0.76,0.58,0.38,3.23,0.16,5.28,0.45,0.04,0.08,0.43,0.17,1.17,-4.11,3.05,4.53,6
124,New Zealand,Asia-Pacific,4.46,0.91,37488.3,0.63,0.23,1.08,2.84,0.7,5.6,0.51,2.7,5.95,0.86,0.13,10.14,4.54,3.23,0.55,3B
125,Nicaragua,Latin America,5.99,0.63,1626.85,0.34,0.12,0.42,0.45,0.03,1.39,0.4,0.58,0.74,0.49,0.05,2.25,0.87,0.8,0.62,5
126,Niger,Africa,17.16,0.34,410.91,0.67,0.48,0.26,0.1,0.02,1.56,0.65,0.51,0.05,0.0,0.03,1.24,-0.32,0.9,1.26,5
127,Nigeria,Africa,168.83,0.5,2612.12,0.53,0.1,0.19,0.21,0.08,1.16,0.5,0.12,0.02,0.02,0.05,0.7,-0.47,0.67,1.67,5
129,Oman,Middle East/Central Asia,3.31,0.79,22622.8,0.57,0.4,0.15,5.8,0.4,7.52,0.07,0.04,0.0,1.61,0.19,1.92,-5.6,4.34,3.93,3B
130,Pakistan,Asia-Pacific,179.16,0.53,1218.6,0.27,0.01,0.08,0.38,0.02,0.79,0.26,0.0,0.01,0.04,0.03,0.35,-0.44,0.46,2.28,6
131,Panama,Latin America,3.8,0.77,8410.77,0.36,0.4,0.19,1.44,0.37,2.79,0.14,0.43,1.74,0.6,0.02,2.94,0.15,1.61,0.95,3B
132,Papua New Guinea,Asia-Pacific,7.17,0.5,1871.21,0.3,0.05,0.36,0.35,0.73,1.91,0.36,0.04,2.66,0.73,0.13,3.92,2.01,1.1,0.49,3B
133,Paraguay,Latin America,6.69,0.67,3557.31,1.11,1.1,0.83,0.97,0.01,4.16,2.51,2.28,5.54,0.05,0.14,10.52,6.36,2.4,0.4,3B
134,Peru,Latin America,29.99,0.73,5684.73,0.5,0.51,0.19,0.67,0.33,2.28,0.36,0.51,2.82,0.2,0.07,3.97,1.69,1.32,0.57,6
135,Philippines,Asia-Pacific,96.71,0.66,2379.44,0.36,0.03,0.09,0.34,0.23,1.1,0.32,0.02,0.09,0.07,0.05,0.54,-0.56,0.64,2.03,5
136,Poland,European Union,38.21,0.84,13769.5,0.84,0.04,0.78,2.64,0.05,4.44,1.05,0.07,0.77,0.11,0.09,2.08,-2.36,2.57,2.14,6
137,Portugal,European Union,10.6,0.83,23217.3,1.03,0.25,0.09,2.15,0.31,3.88,0.47,0.06,0.85,0.07,0.05,1.51,-2.37,2.24,2.57,5
138,Qatar,Middle East/Central Asia,2.05,0.85,99431.5,0.57,0.27,0.15,9.57,0.19,10.8,0.01,0.0,0.0,1.17,0.06,1.24,-9.56,6.24,8.72,3L
140,Romania,European Union,21.76,0.79,9213.94,0.72,0.05,0.33,1.46,0.03,2.71,0.87,0.11,1.14,0.08,0.12,2.32,-0.39,1.56,1.17,5
141,Russian Federation,Northern/Eastern Europe,143.17,0.79,13320.2,0.77,0.15,0.67,3.87,0.19,5.69,0.85,0.34,4.38,1.19,0.03,6.79,1.1,3.29,0.84,6
142,Rwanda,Africa,11.46,0.48,628.08,0.43,0.05,0.25,0.07,0.01,0.87,0.42,0.05,0.01,0.01,0.05,0.54,-0.32,0.5,1.6,5
143,Saint Kitts and Nevis,Latin America,0.05,0.74,12952.5,0.51,0.18,0.09,3.34,0.81,4.94,0.06,0.01,0.17,0.38,0.0,0.62,-4.31,2.85,7.92,3L
144,Saint Lucia,Latin America,0.18,0.73,7737.2,0.38,0.1,0.17,1.56,0.23,2.45,0.1,0.0,0.1,0.14,0.0,0.34,-2.1,1.41,7.12,3B
146,Samoa,Asia-Pacific,0.19,0.7,4067.15,0.97,0.16,0.27,0.96,0.42,2.77,0.69,0.01,1.17,0.06,0.0,1.93,-0.85,1.6,1.44,3B
147,Sao Tome and Principe,Africa,0.19,0.55,1384.53,0.36,0.02,0.27,0.37,0.47,1.49,0.25,0.0,0.22,0.4,0.0,0.87,-0.61,0.86,1.7,3B
148,Saudi Arabia,Middle East/Central Asia,28.29,0.83,23593.8,0.74,0.27,0.27,4.21,0.08,5.61,0.09,0.12,0.07,0.18,0.04,0.5,-5.12,3.24,11.28,3L
149,Senegal,Africa,13.73,0.46,1079.27,0.34,0.21,0.21,0.3,0.12,1.21,0.21,0.17,0.46,0.17,0.02,1.05,-0.16,0.7,1.16,5
150,Serbia,Northern/Eastern Europe,9.55,0.76,6426.18,0.49,0.02,0.46,1.66,0.02,2.7,0.73,0.02,0.46,0.0,0.04,1.25,-1.44,1.56,2.15,5
151,Sierra Leone,Africa,5.98,0.4,499.89,0.47,0.11,0.38,0.07,0.15,1.24,0.42,0.35,0.19,0.22,0.05,1.24,0.0,0.71,1.0,6
152,Singapore,Asia-Pacific,5.3,0.91,53122.4,0.67,0.24,0.91,5.91,0.22,7.97,0.0,0.0,0.0,0.01,0.03,0.05,-7.92,4.61,159.47,5
153,Slovakia,European Union,5.45,0.84,18103.1,0.31,0.08,0.72,2.82,0.03,4.06,0.71,0.06,1.85,0.0,0.09,2.71,-1.35,2.35,1.5,5
154,Slovenia,European Union,2.07,0.88,25040.5,0.64,0.17,0.65,4.27,0.05,5.81,0.37,0.07,1.87,0.0,0.04,2.35,-3.47,3.36,2.48,6
155,Solomon Islands,Asia-Pacific,0.55,0.5,1647.86,0.47,0.03,0.09,0.0,0.46,1.29,0.66,0.01,2.28,1.19,0.23,4.36,3.08,0.74,0.29,3L
157,South Africa,Africa,52.39,0.66,8089.87,0.44,0.11,0.29,2.34,0.08,3.31,0.35,0.58,0.02,0.17,0.04,1.15,-2.16,1.91,2.87,5
158,Spain,European Union,46.76,0.87,32008.7,0.78,0.15,0.17,2.22,0.32,3.67,0.72,0.1,0.34,0.06,0.04,1.25,-2.42,2.12,2.94,6
159,Sri Lanka,Asia-Pacific,21.1,0.75,2880.03,0.31,0.01,0.16,0.52,0.27,1.32,0.26,0.02,0.04,0.07,0.05,0.44,-0.88,0.77,3.01,6
160,Suriname,Latin America,0.54,0.71,8190.7,0.43,0.06,0.52,3.01,0.14,4.25,0.3,0.03,81.52,7.39,0.09,89.33,85.08,2.46,0.05,3L
161,Swaziland,Africa,1.23,0.53,4657.48,0.35,0.41,0.52,0.67,0.01,2.01,0.25,0.51,0.05,0.0,0.06,0.88,-1.14,1.16,2.3,3L
162,Sweden,European Union,9.51,0.9,59381.9,1.47,0.27,1.3,3.88,0.09,7.25,1.31,0.22,6.66,2.19,0.24,10.62,3.38,4.19,0.68,5
163,Switzerland,Northern/Eastern Europe,8.0,0.93,88506.2,0.75,0.22,0.38,4.26,0.07,5.79,0.32,0.12,0.74,0.01,0.12,1.3,-4.48,3.34,4.44,6
165,Tajikistan,Middle East/Central Asia,8.01,0.62,836.17,0.46,0.14,0.1,0.13,0.0,0.91,0.29,0.14,0.01,0.01,0.08,0.53,-0.38,0.52,1.71,5
166,"Tanzania, United Republic of",Africa,47.78,0.51,765.33,0.44,0.34,0.23,0.17,0.09,1.32,0.46,0.34,0.17,0.06,0.06,1.08,-0.24,0.76,1.23,6
167,Thailand,Asia-Pacific,66.78,0.72,5479.29,0.67,0.02,0.24,1.54,0.13,2.66,0.77,0.01,0.2,0.19,0.07,1.24,-1.42,1.54,2.14,6
168,Timor-Leste,Asia-Pacific,1.11,0.6,5167.86,0.25,0.07,0.04,0.06,0.02,0.48,0.21,0.06,0.52,0.94,0.04,1.78,1.3,0.28,0.27,3B
169,Togo,Africa,6.64,0.47,580.86,0.34,0.1,0.27,0.31,0.08,1.13,0.34,0.12,0.03,0.02,0.02,0.53,-0.6,0.65,2.13,6
170,Tonga,Asia-Pacific,0.1,0.72,4330.9,1.19,0.32,0.14,0.88,0.18,2.7,0.83,0.02,0.11,0.52,0.0,1.48,-1.22,1.56,1.82,3B
171,Trinidad and Tobago,Latin America,1.34,0.77,18310.8,0.46,0.19,0.27,6.89,0.11,7.92,0.04,0.01,0.15,1.37,0.0,1.56,-6.36,4.57,5.07,3B
172,Tunisia,Africa,10.88,0.72,4305.07,0.76,0.09,0.28,1.11,0.06,2.34,0.53,0.08,0.05,0.24,0.04,0.93,-1.4,1.35,2.51,5
173,Turkey,Middle East/Central Asia,74.0,0.76,10437.7,0.87,0.12,0.34,1.92,0.04,3.33,0.75,0.09,0.6,0.04,0.04,1.52,-1.81,1.92,2.19,5
174,Turkmenistan,Middle East/Central Asia,5.17,0.68,5290.14,0.73,0.44,0.08,4.13,0.01,5.47,0.6,1.96,0.02,0.13,0.09,2.79,-2.68,3.16,1.96,6
